# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
5196                   	1.240372267665121e-06	6.824343948502508e-07	2.812527648531884e-06	3.631701642706865e-06	3.908910118482922e-08
5197                   	1.238808522076987e-06	6.799958569086399e-07	2.807822670971288e-06	3.627294240477750e-06	3.904638784780854e-08
5198                   	1.237246629435167e-06	6.775668060859920e-07	2.803109349482859e-06	3.622891550385852e-06	3.900369039760039e-08
5199                   	1.235686433068787e-06	6.751460178245483e-07	2.798461382096029e-06	3.618493658634342e-06	3.896102004650364e-08
5200                   	1.234127896004772e-06	6.727371865321531e-07	2.793804709422980e-06	3.614100900264903e-06	3.891837763521339e-08
5201                   	1.232571042002293e-06	6.703421945301799e-07	2.789101496612410e-06	3.609713893550118e-06	3.887576608379483e-08
5202                   	1.231016365803097e-06	6.679557469992299e-07	2.784297055049464e-06	3.605332378432033e-06	3.883318069987818e-08
5203                   	1.229463602956701e-06	6.655798747610990e-07	2.779524804069402e-06	3.600956074088809e-06	3.879061764452944e-08
5204                   	1.227912810945322e-06	6.632145916554120e-07	2.774769405071469e-06	3.596584612472597e-06	3.874807805850358e-08
5205                   	1.226363526195764e-06	6.608586424921535e-07	2.770022770585290e-06	3.592217850265818e-06	3.870556463799917e-08
5206                   	1.224815764597010e-06	6.585142084810060e-07	2.765276943867200e-06	3.587855333353461e-06	3.866307679520520e-08
5207                   	1.223269811794710e-06	6.561812904551458e-07	2.760520667475364e-06	3.583497448813461e-06	3.862060115864191e-08
5208                   	1.221725733678116e-06	6.538620852728334e-07	2.755726234541223e-06	3.579143921811260e-06	3.857815375205909e-08
5209                   	1.220183431821066e-06	6.515556821238120e-07	2.750972296888393e-06	3.574795324705018e-06	3.853573930060491e-08
5210                   	1.218642859958576e-06	6.492635138421575e-07	2.746212343110173e-06	3.570452368489171e-06	3.849336114494534e-08
5211                   	1.217104152975964e-06	6.469826539505348e-07	2.741439104516189e-06	3.566114390818011e-06	3.845101881723304e-08
5212                   	1.215567118346921e-06	6.447125564529972e-07	2.736668910858390e-06	3.561781336619719e-06	3.840870675175719e-08
5213                   	1.214031692935832e-06	6.424529332797853e-07	2.731914193295929e-06	3.557453755197422e-06	3.836642463744321e-08
5214                   	1.212497810317874e-06	6.402041647241570e-07	2.727178327123418e-06	3.553131765668941e-06	3.832417262761579e-08
5215                   	1.210965575556968e-06	6.379644124876540e-07	2.722471242180094e-06	3.548814008805696e-06	3.828195007690738e-08
5216                   	1.209435075794239e-06	6.357346278727996e-07	2.717774938735346e-06	3.544500792731902e-06	3.823975674674428e-08
5217                   	1.207906376929199e-06	6.335158127451261e-07	2.713095951980358e-06	3.540191731345428e-06	3.819759188866715e-08
5218                   	1.206379556061465e-06	6.313095905049043e-07	2.708431958071878e-06	3.535887610250435e-06	3.815545521316329e-08
5219                   	1.204854688716829e-06	6.291124533467987e-07	2.703773903457090e-06	3.531589096226906e-06	3.811334647878861e-08
5220                   	1.203331592087467e-06	6.269237925859210e-07	2.699167016023463e-06	3.527294876709774e-06	3.807126592556638e-08
5221                   	1.201810455299601e-06	6.247456110023136e-07	2.694584513146332e-06	3.523005554178089e-06	3.802921347544704e-08
5222                   	1.200290868457093e-06	6.225766937836517e-07	2.690003869586152e-06	3.518720465647869e-06	3.798718827975442e-08
5223                   	1.198772798136234e-06	6.204185656913221e-07	2.685426738814658e-06	3.514439749460130e-06	3.794518730629384e-08
5224                   	1.197256434453629e-06	6.182693022779636e-07	2.680809806780941e-06	3.510164847183390e-06	3.790322168604406e-08
5225                   	1.195741753609089e-06	6.161308844911092e-07	2.676227259047385e-06	3.505895087498744e-06	3.786127418634115e-08
5226                   	1.194228697978371e-06	6.140042122292417e-07	2.671652932545907e-06	3.501630022135296e-06	3.781935787044723e-08
5227                   	1.192717361122295e-06	6.118926573366312e-07	2.667035789128869e-06	3.497369734041210e-06	3.777746851746050e-08
5228                   	1.191207547788834e-06	6.097919612949188e-07	2.662448041738042e-06	3.493113966238834e-06	3.773560536808263e-08
5229                   	1.189699532067695e-06	6.077016962395493e-07	2.657875311564768e-06	3.488862280359901e-06	3.769376898890933e-08
5230                   	1.188193313808166e-06	6.056236914209449e-07	2.653302958516336e-06	3.484615231242502e-06	3.765196158915967e-08
5231                   	1.186688790085829e-06	6.035587240636320e-07	2.648732871935808e-06	3.480372665651943e-06	3.761018212720460e-08
5232                   	1.185185868837531e-06	6.015050928378688e-07	2.644167277697326e-06	3.476134523738897e-06	3.756842995453718e-08
5233                   	1.183684462593599e-06	5.994656956158022e-07	2.639600656862860e-06	3.471900735498517e-06	3.752670489813591e-08
5234                   	1.182184908173715e-06	5.974388096527758e-07	2.635031604218470e-06	3.467671411012846e-06	3.748500600205745e-08
5235                   	1.180687115291366e-06	5.954241236038044e-07	2.630476054668881e-06	3.463446287691797e-06	3.744332027042743e-08
5236                   	1.179191113947338e-06	5.934231623687409e-07	2.626098983553947e-06	3.459225641199207e-06	3.740166171077200e-08
5237                   	1.177696830256900e-06	5.914301843758491e-07	2.621765799780769e-06	3.455009805068986e-06	3.736003502171520e-08
5238                   	1.176204235794805e-06	5.894456788442780e-07	2.617363348304096e-06	3.450798484464437e-06	3.731843533913952e-08
5239                   	1.174713166316361e-06	5.874700736066485e-07	2.612872264431336e-06	3.446591164618630e-06	3.727686593772929e-08
5240                   	1.173223800066952e-06	5.855015281002700e-07	2.608319190793839e-06	3.442387652919774e-06	3.723532561200282e-08
5241                   	1.171736320363846e-06	5.835435078083706e-07	2.603732062327874e-06	3.438187952682394e-06	3.719381325342018e-08
5242                   	1.170250524904957e-06	5.815970909859264e-07	2.599139142906958e-06	3.433992457259530e-06	3.715232954837807e-08
5243                   	1.168766611605742e-06	5.796592918600045e-07	2.594549060850988e-06	3.429800787901008e-06	3.711087436988681e-08
5244                   	1.167284238102159e-06	5.777339580407876e-07	2.589961476050301e-06	3.425612968979928e-06	3.706943536054602e-08
5245                   	1.165803385115195e-06	5.758203327932147e-07	2.585259524065915e-06	3.421429099643345e-06	3.702802062844813e-08
5246                   	1.164324403656604e-06	5.739199226083718e-07	2.580477477942849e-06	3.417250691373631e-06	3.698663509381827e-08
5247                   	1.162846948136556e-06	5.720312694583658e-07	2.575761130152359e-06	3.413076855002136e-06	3.694528077123332e-08
5248                   	1.161371087692546e-06	5.701532612996722e-07	2.571168996008664e-06	3.408907432311347e-06	3.690397342738827e-08
5249                   	1.159896757951420e-06	5.682858865895943e-07	2.566630419962289e-06	3.404743008663347e-06	3.686269540982047e-08
5250                   	1.158424106579612e-06	5.664287263864947e-07	2.562104897315653e-06	3.400582643114060e-06	3.682144588215876e-08
5251                   	1.156953252857897e-06	5.645833911645403e-07	2.557580209623158e-06	3.396428002708661e-06	3.678022388032986e-08
5252                   	1.155484007071752e-06	5.627522649853160e-07	2.553042963916174e-06	3.392277777410964e-06	3.673902907167439e-08
5253                   	1.154016314872135e-06	5.609314186808943e-07	2.548509742265745e-06	3.388132063991941e-06	3.669786144191381e-08
5254                   	1.152550409051630e-06	5.591195536788901e-07	2.543977361628556e-06	3.383990203903897e-06	3.665672146184455e-08
5255                   	1.151086311811459e-06	5.573161208263690e-07	2.539456624054248e-06	3.379852301610330e-06	3.661561052987907e-08
5256                   	1.149623907402896e-06	5.555226853258172e-07	2.534943242370601e-06	3.375718075252206e-06	3.657453393732155e-08
5257                   	1.148163190609496e-06	5.537406466057151e-07	2.530434666402911e-06	3.371587511066537e-06	3.653348922969726e-08
5258                   	1.146704188118089e-06	5.519682322021796e-07	2.525935951865768e-06	3.367460859993587e-06	3.649247552971672e-08
5259                   	1.145247469398847e-06	5.502063634982455e-07	2.521453333409727e-06	3.363338257959940e-06	3.645149005556908e-08
5260                   	1.143792539890997e-06	5.484529548496058e-07	2.516980590610602e-06	3.359220327231119e-06	3.641053244933039e-08
5261                   	1.142339216501171e-06	5.467091839952216e-07	2.512515332593881e-06	3.355106574588514e-06	3.636960357102911e-08
5262                   	1.140887516892511e-06	5.449741734173285e-07	2.508062735086982e-06	3.350997430657524e-06	3.632870227000367e-08
5263                   	1.139437364531951e-06	5.432499660874674e-07	2.503623762311302e-06	3.346892474249966e-06	3.628782837778074e-08
5264                   	1.137988884561696e-06	5.415407227750713e-07	2.499198667033226e-06	3.342791475416804e-06	3.624698502459458e-08
5265                   	1.136542101346744e-06	5.398421595539890e-07	2.494779944101398e-06	3.338694814730014e-06	3.620617165466712e-08
5266                   	1.135096953702004e-06	5.381558919704255e-07	2.490369926567692e-06	3.334602633178424e-06	3.616538639522478e-08
5267                   	1.133653520254657e-06	5.364805933793857e-07	2.485965201836374e-06	3.330514746278892e-06	3.612461831079634e-08
5268                   	1.132212193638888e-06	5.348156381752782e-07	2.481496900790323e-06	3.326430617803928e-06	3.608386340384411e-08
5269                   	1.130772831095442e-06	5.331608147805025e-07	2.476972331943055e-06	3.322350022272124e-06	3.604312731894560e-08
5270                   	1.129335081329819e-06	5.315162034613035e-07	2.472425995656930e-06	3.318272948113770e-06	3.600242639309292e-08
5271                   	1.127898877344389e-06	5.298829481906271e-07	2.467869930578915e-06	3.314199377577705e-06	3.596175848976415e-08
5272                   	1.126464324268195e-06	5.282625417942300e-07	2.463385047276611e-06	3.310129408896877e-06	3.592112020987033e-08
5273                   	1.125031306840370e-06	5.266559311211859e-07	2.458913578896070e-06	3.306063263500805e-06	3.588051072275914e-08
5274                   	1.123599885628538e-06	5.250642378062224e-07	2.451022313438948e-06	3.302003347529047e-06	3.583992925921963e-08
5275                   	1.122170214296249e-06	5.234858142604095e-07	2.442571863635719e-06	3.297949931447366e-06	3.579937855107691e-08
5276                   	1.120742376599885e-06	5.219165205759952e-07	2.439139896706279e-06	3.293900049562667e-06	3.575885966160570e-08
5277                   	1.119316566050765e-06	5.203579191204340e-07	2.435332011921152e-06	3.289853885066323e-06	3.571836932175773e-08
5278                   	1.117892418265179e-06	5.188101351206956e-07	2.431204868871962e-06	3.285811266721964e-06	3.567790628862015e-08
5279                   	1.116469951322015e-06	5.172763365770277e-07	2.427324063360139e-06	3.281772343765769e-06	3.563745726727663e-08
5280                   	1.115048974417603e-06	5.157518451566708e-07	2.423310598519803e-06	3.277736604303647e-06	3.559703324767734e-08
