# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
4212                   	3.206413197495390e-06	2.431475010018840e-06	8.138387724724377e-06	8.755151475334752e-06	1.065162846433100e-07
4213                   	3.202460073733590e-06	2.431074896787586e-06	8.124116871437318e-06	8.745085111201710e-06	1.063804552984275e-07
4214                   	3.198513705747403e-06	2.430692130808349e-06	8.109961503262776e-06	8.735015473007407e-06	1.062446685096244e-07
4215                   	3.194573853905109e-06	2.430302496858209e-06	8.095972570330704e-06	8.724939479051837e-06	1.061089320718566e-07
4216                   	3.190641657481527e-06	2.429903621381175e-06	8.082235997766739e-06	8.714855918661084e-06	1.059732654004190e-07
4217                   	3.186718415463575e-06	2.429510237789978e-06	8.068588887356940e-06	8.704764089008448e-06	1.058376558801358e-07
4218                   	3.182801766662092e-06	2.429143998052784e-06	8.054820810808083e-06	8.694666776409693e-06	1.057021026904177e-07
4219                   	3.178891487084826e-06	2.428771542512653e-06	8.041204825003571e-06	8.684561273719220e-06	1.055665737331471e-07
4220                   	3.174986413309446e-06	2.428408466120421e-06	8.027830214789907e-06	8.674450643176631e-06	1.054311228450415e-07
4221                   	3.171087732187505e-06	2.428067429286797e-06	8.014560057375351e-06	8.664338689080647e-06	1.052957908381633e-07
4222                   	3.167196964327173e-06	2.427718026817226e-06	8.001430214052764e-06	8.654223559117884e-06	1.051605441632331e-07
4223                   	3.163313038280008e-06	2.427374713276869e-06	7.988535147449323e-06	8.644106230779836e-06	1.050253879529014e-07
