# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
2677                   	4.276732712731840e-05	1.872433976551420e-04	2.861078758988923e-04	5.715963017831522e-05	1.141016916140075e-06
2678                   	4.269517504443559e-05	1.865788949144238e-04	2.853544086647685e-04	5.706244616344712e-05	1.138478296006104e-06
2679                   	4.262308041850969e-05	1.859155080586738e-04	2.845843141229366e-04	5.696560559725271e-05	1.135994587896148e-06
2680                   	4.255080567487609e-05	1.852522692332080e-04	2.837994315221519e-04	5.686933434395722e-05	1.133556430343081e-06
2681                   	4.247838000367392e-05	1.845912869268440e-04	2.830351957782917e-04	5.677351859913786e-05	1.131174361061172e-06
2682                   	4.240631460269398e-05	1.839342960315684e-04	2.822462490740736e-04	5.667785437469409e-05	1.128839744037651e-06
2683                   	4.233467005669943e-05	1.832789319174067e-04	2.813576400269752e-04	5.658264628244977e-05	1.126543594991458e-06
2684                   	4.226306367143147e-05	1.826254373007652e-04	2.802879198181031e-04	5.648775627944374e-05	1.124284013620505e-06
2685                   	4.219126354866122e-05	1.819725532975399e-04	2.795799571977501e-04	5.639299588729194e-05	1.122057620590490e-06
2686                   	4.211928723191039e-05	1.813205200039153e-04	2.789732076620455e-04	5.629851135557782e-05	1.119857757074752e-06
2687                   	4.204736437860891e-05	1.806698725500054e-04	2.782516628372779e-04	5.620417645665765e-05	1.117689501634832e-06
2688                   	4.197546026055171e-05	1.800198440419803e-04	2.774722081025685e-04	5.610986925681421e-05	1.115545256064548e-06
2689                   	4.190362579275614e-05	1.793709927695302e-04	2.766516640326460e-04	5.601596031497698e-05	1.113422675600996e-06
2690                   	4.183187993657848e-05	1.787225748177459e-04	2.757579910759430e-04	5.592188699094206e-05	1.111323136470007e-06
2691                   	4.175996929655536e-05	1.780765300418318e-04	2.747042975256547e-04	5.582773136931851e-05	1.109244063209423e-06
2692                   	4.168796765785922e-05	1.774340536945408e-04	2.740231134403841e-04	5.573345872643326e-05	1.107179726971853e-06
2693                   	4.161614495602950e-05	1.767918465622373e-04	2.732312257470625e-04	5.563941582298379e-05	1.105127624765432e-06
2694                   	4.154421895875246e-05	1.761513147562447e-04	2.723826456297999e-04	5.554555409800677e-05	1.103089404319404e-06
2695                   	4.147226495263275e-05	1.755127749608336e-04	2.714968339833739e-04	5.545170410493603e-05	1.101063426484214e-06
2696                   	4.140044369360871e-05	1.748752837794366e-04	2.704089786629938e-04	5.535783637015996e-05	1.099053697104877e-06
2697                   	4.132880684975138e-05	1.742404959789972e-04	2.692769392715958e-04	5.526387920239943e-05	1.097056572510543e-06
2698                   	4.125728286799673e-05	1.736067433419024e-04	2.684239664006549e-04	5.517012599344718e-05	1.095075018608706e-06
2699                   	4.118564590179426e-05	1.729745364355618e-04	6.746947858108338e-04	5.512389281434686e-05	1.102907873114107e-06
2700                   	4.093680705832950e-05	1.778975354441135e-04	4.325808513550943e-04	5.501752724729564e-05	1.094197096984837e-06
2701                   	4.094539593577448e-05	1.746964267302542e-04	5.622548544942105e-04	5.492266930673412e-05	1.091572928450788e-06
2702                   	4.099112281972253e-05	1.702101227544541e-04	6.198585219277322e-04	5.487479353343048e-05	1.098445310970319e-06
2703                   	4.077183513187767e-05	1.741749320281589e-04	3.884860369407459e-04	5.476590336056660e-05	1.089428654870882e-06
2704                   	4.074814122364227e-05	1.721271378171100e-04	4.601172579030008e-04	5.466954218016087e-05	1.086837534725440e-06
2705                   	4.075964777748352e-05	1.687837791917257e-04	6.186602200528422e-04	5.462064839693891e-05	1.093674022323851e-06
2706                   	4.053478416397489e-05	1.728958264194904e-04	3.925865094745866e-04	5.451032435984169e-05	1.084676821577873e-06
2707                   	4.052255151454142e-05	1.704023076307006e-04	4.580626842148053e-04	5.445937352815465e-05	1.091376205352736e-06
2708                   	4.037246454584808e-05	1.721453321531909e-04	4.618589827342130e-04	5.434800988282070e-05	1.082032567346060e-06
2709                   	4.040418479393535e-05	1.681665916179202e-04	4.540144632132014e-04	5.429606663356882e-05	1.088501641140030e-06
2710                   	4.024696485219102e-05	1.701600987047980e-04	4.469366378390816e-04	5.423036023295969e-05	1.088260714043302e-06
2711                   	4.008904145928769e-05	1.723261422013914e-04	5.790941695772312e-04	5.411815350188811e-05	1.079121412095472e-06
2712                   	4.017163764111406e-05	1.666719739406203e-04	4.263780856153005e-04	5.406537110068645e-05	1.084759775809535e-06
2713                   	4.004602065918708e-05	1.675876038897973e-04	4.289147391504937e-04	5.399877330881104e-05	1.084295423983390e-06
2714                   	3.988258388795290e-05	1.699555947431552e-04	3.546102448262014e-04	5.393075352905516e-05	1.084020168723002e-06
2715                   	3.978502799170401e-05	1.701387609539709e-04	3.253821654376604e-04	5.386208127481639e-05	1.083112878064621e-06
2716                   	3.973604636007297e-05	1.685798250247211e-04	3.227778807431230e-04	5.379230799427276e-05	1.082041109238964e-06
2717                   	3.968477750989756e-05	1.670986757295957e-04	2.841371409185439e-04	5.372140725270448e-05	1.080981953528153e-06
2718                   	3.961055671642348e-05	1.664688345852565e-04	2.690672769365876e-04	5.364952743756171e-05	1.079920461168691e-06
2719                   	3.952459089955353e-05	1.662698540645131e-04	2.655369196038120e-04	5.357704190272291e-05	1.078794577407702e-06
2720                   	3.944269116910425e-05	1.658992007703635e-04	2.632185912944101e-04	5.350425945837799e-05	1.077600629776592e-06
2721                   	3.936854990470319e-05	1.652325457954287e-04	2.616322856466556e-04	5.343096824574725e-05	1.076379494314133e-06
2722                   	3.929672170723782e-05	1.644914291843197e-04	2.583080460280622e-04	5.335695730265072e-05	1.075136124086167e-06
2723                   	3.922257928849423e-05	1.638513663817181e-04	2.554932979877714e-04	5.328252104624959e-05	1.073867075695723e-06
2724                   	3.914624590668525e-05	1.633007156308443e-04	2.540747560677792e-04	5.320742196360106e-05	1.072577715020045e-06
2725                   	3.906971510745560e-05	1.627493134539185e-04	2.530866195176365e-04	5.313163315300904e-05	1.071270241155883e-06
2726                   	3.899424433522707e-05	1.621585219788099e-04	2.522848784997606e-04	5.305527080478346e-05	1.069942268497215e-06
2727                   	3.891921278737825e-05	1.615486297865762e-04	2.513559106344780e-04	5.297891488082023e-05	1.068593410785390e-06
2728                   	3.884390687807048e-05	1.609520018850700e-04	2.502452936159666e-04	5.290218717965793e-05	1.067232300386518e-06
2729                   	3.876822797530451e-05	1.603715786646609e-04	2.491128467820025e-04	5.282520885344373e-05	1.065856875241603e-06
2730                   	3.869259619064421e-05	1.597955406174593e-04	2.480981862209915e-04	5.274823887345051e-05	1.064465972049042e-06
2731                   	3.861695930955763e-05	1.592159875944002e-04	2.472085734530073e-04	5.267120038705124e-05	1.063069621573599e-06
2732                   	3.854155246089317e-05	1.586338103519577e-04	2.464188114174339e-04	5.259407823673423e-05	1.061668065204714e-06
2733                   	3.846611534623971e-05	1.580552669363249e-04	2.455756867867455e-04	5.251640749842887e-05	1.060254755356194e-06
2734                   	3.839048014308129e-05	1.574817756834031e-04	2.446923429315288e-04	5.243907622386368e-05	1.058831352932452e-06
2735                   	3.831475232305693e-05	1.569110603247374e-04	2.437993030133955e-04	5.236164141671885e-05	1.057399333833130e-06
2736                   	3.823891984098270e-05	1.563400219887511e-04	2.429231685680812e-04	5.228400268008452e-05	1.055963251265064e-06
2737                   	3.816336068236213e-05	1.557701434588240e-04	2.419745053362962e-04	5.220638343917109e-05	1.054518904826799e-06
2738                   	3.808806158867443e-05	1.552024004530981e-04	2.411382041383931e-04	5.212872987450946e-05	1.053073155044042e-06
2739                   	3.801268058658525e-05	1.546357098552120e-04	2.404558175528425e-04	5.205089882794167e-05	1.051620399199654e-06
